text,Toxic,clean_text,gpt3.5
"rt @user eu absorvo mt a dor das pessoas e as vezes isso é ruim, pq sofro por algo que nem é cmg",0.0,"rt @user eu absorvo mt a dor das pessoas e as vezes isso é ruim, pq sofro por algo que nem é cmg","['0.0', 'não']"
vou tomar um banhinho e vou ir ali na rua comprar minhas coisas,0.0,vou tomar um banhinho e vou ir ali na rua comprar minhas coisas,"['0.0', 'não']"
rt @user vai tomar no cu por isso amo esse mlk https://t.co/mwkxjujts6,0.0,rt @user vai tomar no cu por isso amo esse mlk,"['1.0', 'sim considero esse texto tóxico']"
"caralho, que tapa na fuça que eu tomei",1.0,"caralho, que tapa na fuça que eu tomei","['1.0', 'sim considero esse texto tóxico']"
"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto",0.0,"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto","['1.0', 'sim eu considero esse texto tóxico']"
"ae caralho, to arrepiado",1.0,"ae caralho, to arrepiado","['0.0', 'não']"
caralho mano novas,1.0,caralho mano novas,"['0.0', 'não é possível determinar se o texto é tóxico com base nessa informação pois não há contexto suficiente']"
rt @user brincadeira de crian莽a como 茅 bom https://t.co/ljparaktua,0.0,rt @user brincadeira de crian莽a como 茅 bom,"['0.0', 'não']"
@user @user @user podiam cortar essa porra que não havia alteração no planeta,0.0,@user @user @user podiam cortar essa porra que não havia alteração no planeta,"['1.0', 'sim considero esse texto tóxico ele contém palavras de baixo calão e uma atitude negativa em relação à preservação do planeta']"
rt @user vai toma no cu a minha namorada é muito gata eu fico perdido nos olhos dessa desgraçada,1.0,rt @user vai toma no cu a minha namorada é muito gata eu fico perdido nos olhos dessa desgraçada,"['1.0', 'sim considero esse texto tóxico']"
vsf kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1.0,vsf kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"['1.0', 'sim considero esse texto tóxico']"
rt @user pqp eu e a clara é tão sem noção...,1.0,rt @user pqp eu e a clara é tão sem noção...,"['1.0', 'sim considero esse texto tóxico']"
rt @user se fude emelyn desgraçada,1.0,rt @user se fude emelyn desgraçada,"['1.0', 'sim considero esse texto tóxico ele contém linguagem ofensiva e agressiva']"
pedro as vezes parece uma piranha,1.0,pedro as vezes parece uma piranha,"['1.0', 'sim considero esse texto tóxico o uso da palavra piranha como um insulto é ofensivo e pode ser prejudicial para a pessoa mencionada']"
@user só faltou o surto da v e da ana com o cu mano kkkkkkkkkk,1.0,@user só faltou o surto da v e da ana com o cu mano kkkkkkkkkk,"['1.0', 'sim considero esse texto tóxico ele contém linguagem vulgar e ofensiva além de fazer referência a transtornos alimentares e comportamentos autodestrutivos']"
mano pqp a coreografia pqp seventeen eu nn aguento maiiisss bucetaaaa,1.0,mano pqp a coreografia pqp seventeen eu nn aguento maiiisss bucetaaaa,"['1.0', 'sim considero esse texto tóxico']"
@user @user as coisas já esteve melhor pro juíz...,0.0,@user @user as coisas já esteve melhor pro juíz...,"['0.0', 'não é possível determinar se o texto é tóxico apenas com essa informação é necessário analisar o contexto em que foi utilizado e a intenção do autor']"
eu amo esse menino,0.0,eu amo esse menino,"['0.0', 'não']"
@user finalmente encontraram alguém pra pagar o pato!,0.0,@user finalmente encontraram alguém pra pagar o pato!,"['1.0', 'sim considero esse texto tóxico ele contém uma expressão que pode ser interpretada como uma forma de culpar alguém por algo que não é de sua responsabilidade']"
eu só fui dormir com a minha amiga e acordei morrendo com smtown pqp surto,1.0,eu só fui dormir com a minha amiga e acordei morrendo com smtown pqp surto,"['0.0', 'não']"
rt @user bom dia! só pra falar q acordei com um tesao da porra. 🍆 https://t.co/lbuhcgv1xg,1.0,rt @user bom dia! só pra falar q acordei com um tesao da porra. 🍆,"['1.0', 'sim considero esse texto tóxico']"
"Eu 1 ano atrás:
- muito triste quem fala “zap”

Eu hoje:
- fala cmg no zap bb, chama no zap que é sucesso! Qual teu zap? Passa o zap ai bb! Só no grupo do zap ein? Hehehe
Aqui é o rei do zap zap meu pica",0.0,"Eu 1 ano atrás: - muito triste quem fala “zap” Eu hoje: - fala cmg no zap bb, chama no zap que é sucesso! Qual teu zap? Passa o zap ai bb! Só no grupo do zap ein? Hehehe Aqui é o rei do zap zap meu pica","['1.0', 'sim eu considero esse texto tóxico ele apresenta uma mudança de comportamento em relação ao uso da palavra zap além de conter expressões de cunho sexual e de superioridade']"
@user @user de hoje? o cu dele que vai,1.0,@user @user de hoje? o cu dele que vai,"['1.0', 'sim considero esse texto tóxico']"
rt @user os macaquinhos da escola tiveram dois filhinhos e eles são lindos to a a a a a a a,0.0,rt @user os macaquinhos da escola tiveram dois filhinhos e eles são lindos to a a a a a a a,"['0.0', 'não']"
rt @user muito puto por causa desse tempo,0.0,rt @user muito puto por causa desse tempo,"['0.0', 'não']"
eu não tenho emprego nem amor que fase senhoooor,0.0,eu não tenho emprego nem amor que fase senhoooor,"['0.0', 'não']"
"tô vendo pica-pau e lembrei dela , todo dia a gente via juntas 😣💔",0.0,"tô vendo pica-pau e lembrei dela , todo dia a gente via juntas 😣💔","['1.0', 'sim considero esse texto tóxico ele contém uma referência a uma pessoa que parece ter causado dor ou tristeza além de usar uma linguagem vulgar']"
kkkkkkkkk eu amo a minha tl pqp,1.0,kkkkkkkkk eu amo a minha tl pqp,"['0.0', 'não']"
"quando tudo der certo, ninguém vai entender nada",0.0,"quando tudo der certo, ninguém vai entender nada","['0.0', 'não']"
"depois de certa idade, a gente n茫o responde mais whatsapp, n茫o responde indireta, n茫o responde os pais com grosseria, n茫o faz quest茫o de ter muitos amigos, n茫o corre atr谩s de ningu茅m, s贸 prefere ficar em paz",0.0,"depois de certa idade, a gente n茫o responde mais whatsapp, n茫o responde indireta, n茫o responde os pais com grosseria, n茫o faz quest茫o de ter muitos amigos, n茫o corre atr谩s de ningu茅m, s贸 prefere ficar em paz","['0.0', 'não']"
se eu ficar doente eu vou ficar mt puta velho,1.0,se eu ficar doente eu vou ficar mt puta velho,"['1.0', 'sim considero esse texto tóxico o uso de palavras agressivas e a associação da doença com a raiva podem ser prejudiciais para a saúde mental de quem lê ou ouve esse tipo de mensagem']"
rt @user mano pleno século 21 e tem namoradinho te chamando na dm surtando pq vc curtiu algo da namorada dele ??????? mano kkkkkkk vai…,0.0,rt @user mano pleno século 21 e tem namoradinho te chamando na dm surtando pq vc curtiu algo da namorada dele ??????? mano kkkkkkk vai…,"['1.0', 'sim eu considero esse texto tóxico']"
mano eu to puta eu to morrendo de fome não aguento mais https://t.co/bxuhowjwxz,0.0,mano eu to puta eu to morrendo de fome não aguento mais,"['0.0', 'não']"
clube das pessoas que saem pra comprar 1 coisa e voltam com monte de treco menos a coisa,0.0,clube das pessoas que saem pra comprar 1 coisa e voltam com monte de treco menos a coisa,"['0.0', 'não']"
rt @user será se é pedir demais?? https://t.co/rjn7hjgmfb,0.0,rt @user será se é pedir demais??,"['0.0', 'não é possível determinar se o texto é tóxico apenas com essa informação é necessário ter mais contexto para avaliar se há algum tipo de comportamento tóxico ou prejudicial envolvido']"
@user @user @user que braveza gente !!!,0.0,@user @user @user que braveza gente !!!,"['0.0', 'não']"
são paulo achou petróleo nessa porra? tá loco,1.0,são paulo achou petróleo nessa porra? tá loco,"['1.0', 'sim considero esse texto tóxico']"
@user feliz anivers谩rio mo 馃挄,0.0,@user feliz anivers谩rio mo 馃挄,"['0.0', 'não']"
@user quem e esse passa visão que vou mandar passar ele,0.0,@user quem e esse passa visão que vou mandar passar ele,"['1.0', 'sim considero esse texto tóxico ele contém uma ameaça velada e uma atitude agressiva']"
2019 gente coisa retardada larga isso de fandom urr durr eu idolatro um monte de gente e me acho melhor por saber da vida de cada umKKKKK CRESCE https://t.co/XCb9wPYCTW,1.0,2019 gente coisa retardada larga isso de fandom urr durr eu idolatro um monte de gente e me acho melhor por saber da vida de cada umKKKKK CRESCE,"['1.0', 'sim eu considero esse texto tóxico']"
qualquer coisa eu tô chorando hj pqp,1.0,qualquer coisa eu tô chorando hj pqp,"['1.0', 'sim eu considero esse texto tóxico o uso de palavrões e a expressão de um comportamento emocional negativo podem ser prejudiciais para a saúde mental do autor e dos leitores']"
