instagram_comments,offensive_language,offensiveness_levels,hate_speech
"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE, EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos , PARA SOBRAR PARA O BRASIL, E TEM MULAS QUE AINDA FALAM EM ESQUERDA MEU DEUS AS BURRiCES ESTÃO VENDO A REALIDADE E NÃO ACEITAM , CRIMES INVADINDO OS RESPONSÁVEIS PELO BRASIL, ATÉ ISSO ACORDARAM , NINGUÉM QUE VIROU P ESQUERDA FINGIRAM EM NAIO ENTENDER , BANDIDOS AGINDO JUNTOS COM 0S BANDIDOS DA ESQUERDA E PCC VIU COM QUEM ESSAS MULAS QUETEM QUE FOCAM NO BRASIL????",1,3,5
Aceitar comentários de Minions é de uma grandeza absoluta... só por isso tem meu voto eternamente,1,2,5
Merecido 👏🏾👏🏾,0,0,0
"nosso presidente é top, rumo ao crescimento",0,0,0
Tenho mais nojo de quem votou nesse jegueeeeeee..ahhh vc votou vai aqui o meu FODA_SE pra vc ...🤗🤗🤗🤗,1,2,5
Realmente handrade kkk lembro do slogan da campanha Lula é Haddad Haddad é Lula hahhahaha os dois condenados.,1,1,-1
"Se nossos hermanos precisassem vir para cá, teria sido na época atual do Macri, primeiramente. Agora, se quiserem vir mesmo, nós gaúchos os receberemos de portas e porteiras abertas.",0,0,0
Obrigado Ministra Damares P ir sua força e integridade.,0,0,0
SOMOS TODOS NEGROS APOIO A DEPUTADA BENEDITA ❤️,0,0,0
E vc fomenta isso tudo é deve dar risada não???🤬,0,0,0
🤔🤔🤔 será que as notícias fake vão vir com o anexo no roda pé ... é fake kkkkkk,0,0,0
Vagabundo,1,2,-1
Parabéns Haddad,0,0,0
Os gados gostam de pagar para tirar férias 🍊🍊,1,2,5
"Esplicar isso para um eleitor do bozo , é mesmo q dá remedio a defunto kkkkkkkkk",0,0,0
Ah votei bolsonaro mas nao vou fica apaixonado nao blz,0,0,0
❤️❤️❤️❤️❤️❤️❤️❤️ quanto amoor numa foto so,0,0,0
é importante nos tornarmos progressistas e largarmos de lado esse neoliberaliamo rentista que enriquece banqueiros dos ultimos 17 anos.,0,0,0
"A maioria no Brasil e no mundo já sabe quem sãos os que deveriam estar na CADEIA , tem 🍊🍊🍊🍊🍊sobrando pra todos os lados e tem vaza a jato mostrando o marreco chefe do golpe ! Ou vcs fazem alguma coisa antes, ou estes pilantras criminosos vão prender o Lula de novo! Os advogados tem que agir antes , carta na manga",1,2,-1
Lula livre,0,0,0
Esperamos por vocês 2022,0,0,0
Hipócritas,1,2,-1
Parabéns!,0,0,0
Será que o filho está fazendo isto pra prejudicar o pai,0,0,0
Não traia a nossa confiança. Nunca dê as costas para o meu presidente @jairmessiasbolsonaro.,0,0,0
"Não são Fala irresponsáveis, sao falas que o povo gostaria de dizer",0,0,0
Até que enfim atitudes sérias sendo tomadas👏👏,0,0,0
Leda amadaa!!,0,0,0
Nosso furo está com eles. Parabéns,0,0,0
"Concordo com o presidente! Além de ser uma pirralha é um grande fantoche de uma potência econômica, cujos interesses nada tem de bonzinhos e ambientais! Sinto muito essa pseudo-ativista ser vista como grande personalidade! Quais foram suas realizações? Bolaonaro fala o que o povo está querendo falar...representa a voz da nação, sem essa m... de articulação política! O povo brasileiro já está com o saco na lua com o politicamente correto!",1,1,-1
Benedita é uma grande voz que representa o povo. Escutem essa mulher!👏🏿👏🏿👏🏿👏🏿✊🏾,0,0,0
"Como seria o país c Haddad presidente? Às vésperas de um Natal bem mais alegre, certamente, c um povo mais esperançoso no futuro e governado p pessoas mais dignas e cientes dos problemas brasileiros.",0,0,0
Ja vou preparar a pipoca pro show da Entrevista! 👏👏🇧🇷🇧🇷🇧🇷🇧🇷,0,0,0
Cara de pau,1,2,-1
Nojo desse verme!,1,3,-1
Que absurdo!😥,0,0,0
Ao contrario estes meninos são verdadeiras jóias!,0,0,0
Hipócrita,1,2,-1
este lixo ...,1,1,-1
Esta eu não perco! O Duda é uma pessoa fantástica ❤️❤️❤️❤️,0,0,0
Escreveu racismo errado? Kkkk. Professor geração Paulo Freire,0,0,0
Graça a deus q os sros não compra Deus,0,0,0
"Joice já foi tão querida pelo povo brasileiro , e agora está tão desprezada! É lamentável!",1,1,-1
Estamos juntos contra esse bandido terrorista,1,3,-1
Nem era pra ter sido preso! #LulaInocente ❤️🇧🇷💚,0,0,0
Cenas como essa dão um pouco de esperança sobre os nossos jovens...,0,0,0
E O TRUMP HJ TB MANDOU UM RECADO PRA PIRRALHA . PENSO QUE POR MAIS BOA INTENCAO QUE TENHA ELA DEVA CONHECER IN LOCO AS COISAS PRA EMITIR OPINIAO.,1,2,-1
Parabéns Hadade!,0,0,0
Oq os comunistas postarem = VERDADEIRO. Oq a direita postar = FAKENEWS,1,1,5
Parabéns aos envolvidos! (Contém ironia),0,0,0
Ela sofre todo o tipo de violência!!,0,0,0
Alinhamento com o pensamento nazista? Pq no Brasil já é claro que defende torturador.,0,0,0
Tranquilão lindezo do coração ☺️,0,0,0
@joicehasselmannoficial e @janainacpaschoal em narrativas de analfabetas funcionais.,0,0,0
Meu amor,0,0,0
"Esse facista , racista e homofóbico ainda está vivo na política??? Vc não não me representa !!!",1,1,-1
"Greta, uma menina usada pela esquerda globalista para atingir o Brasil. Logo, o presidente está certíssimo.",1,2,5
Tem q voltar pra cadeia de onde não deveria ter saído. É uma ameaça para o 🇧🇷,1,3,-1
"Que pessoa religiosa, que coração bom. 🤔",0,0,0
Um homem de Deus que nem o diabo quer .,1,3,-1
Como esses que defendem conseguem explicar a morte da pequena Agata?,0,0,0
Demais! 💚💛📚🤝,0,0,0
Joice estou em conflito. Estou te desconhecendo.,0,0,0
parabéns!!!! O Sr. REALMENTE é um homem de caráter !!!!,0,0,0
Deus é maior 🇧🇷 estou com presidente bolsonario🙌🙌🙌🙌🙌,0,0,0
REALIZANDO O SONHO DOS PASTORES. .,0,0,0
Dois professores maravilhosos,0,0,0
Só podiam ser esses pulhas malditos traidores imundos ladrões,1,3,-1
Tenho é medo desse povo de bem...,0,0,0
Cada dia me pergunto: até quando? Nāo acredito que teremos que suportar tanto desrespeito por 4 eternos anos,0,0,0
Estamos Com vc Ministra Damares 💖,0,0,0
Babaca !,1,1,-1
Temos tantas coisas pra mudar em nosso país e vcs ai dando corda a uma menina que mal sabe o que é viver.,0,0,0
Está menina está sendo manipulada pela esquerda. Mais um gado marcado.,1,2,5
A melhor ministra e pessoa humana.,0,0,0
❤️ lindos!,0,0,0
Infeliz,1,2,-1
"Esse terrorista é problemático e não sabe o que diz,mas, faz merda que é um campeão.Nojento....",1,2,-1
Lula é um vagabundo safado,1,1,-1
"Fiquei feliz com isso, mas ainda sim contrariada pq tbm não gosto de concursos de beleza. É uma conquista da pele, porém ainda estamos presos a uma mulher magra, traços finos bem no padrão modelo. Até qdo as mulheres mais lindas serão as do padrão modelo? Que bom que para além do corpo, ela teve uma presença discursiva importante tbm.",0,0,0
Eu faço parte dos 50% hehehe 🇧🇷 #Bolsonaro2022,0,0,0
Grande Homem sábio herói,0,0,0
"A maioria dessa bancada evangelica usa o nome de Deus em vao. É só fachada pra encobrir a verdadeira podridao que eles carregam no coraçao, so",1,1,"5,7"
Quem votou nesta pérola deve estar felizzzzzz👏👏👏👏👏👏,0,0,0
Ele lá sabe disso tudo! Ele é burro e chucro kkk,1,1,-1
Entrevista com classe e integridade...👏👏👏,0,0,0
A Time so escolhe pessoas polemicas. Essa doida nao me representa!,1,1,-1
Amo os dois,0,0,0
Quem vai desistir? POVO BRASILEIRO está com quem tem AMOR À PÁTRIA 😍💪💪💪💪🇧🇷🇧🇷🇧🇷🇧🇷,0,0,0
Onde vamos parar...,0,0,0
Parabéns lindão. Tu mereces mto essa honraria. 👏👏👏,0,0,0
Lula livre ja,0,0,0
Maravilhosa❤️,0,0,0
